物件編號,物件名稱,地區,地址,格局,坪數,樓層,屋齡,類型,價格
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
WS45017,近大安運動中心公寓二樓,大安區,大安區辛亥路三段,3房(室)2廳1衛,27.28坪,2樓/4樓,50.8年,住宅,2308萬 → 1950萬
YS175518,101景觀五房坡車名宅,大安區,大安區忠孝東路四段,5房(室)2廳2衛,57.64坪,6樓/13樓,38.8年,住宅,10010萬 → 8888萬
WS70607,H3世貿雙捷運福氣四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
ZS159846,森林公園夏朵名邸,大安區,大安區復興南路二段,2+1房2廳2衛,40.74坪,2樓/8樓,18.6年,住宅,11288萬 → 10088萬
WS70538,中正國中學區美宅,大安區,大安區杭州南路二段,1房(室)--廳1衛,7.08坪,1樓/8樓,2年,住宅,1980萬
WS71952,G5敦南自在尊爵豪邸,大安區,大安區大安路二段,4房(室)2廳3衛,38.33坪,5樓/7樓,14.3年,住宅,9888萬
WS71280,文普世貿高樓景觀四房,大安區,大安區基隆路二段,4房(室)2廳2衛,38.77坪,8樓/12樓,44.7年,住宅,5698萬
WS71619,B3新生金華☆捷運電梯宅,大安區,大安區和平東路一段,1房(室)1廳1衛,8.24坪,3樓/12樓,42年,獨立套房,1798萬
WS71209,東區名喬財金大樓坡車,大安區,大安區忠孝東路四段,--房(室)--廳--衛,7.64坪,B4樓/15樓,35.6年,車位,350萬
YS197519,大安捷運精美2房大廈,大安區,大安區敦化南路二段,2房(室)1廳1衛,10.07坪,9樓/16樓,50.8年,住宅,1888萬
